ID,Name,Skin,Layer,Layout
99,FloorTest,default,0,FFFFFFFFFFFFFFFFFFFF
99,FloorTest,default,0,FFFFFFFFFFFFFFFFFFFF
99,FloorTest,default,0,FFFFFFFFFFFFFFFFFFFF
99,FloorTest,default,0,FFFFFFFFFFFFFFFFFFFF
99,FloorTest,default,0,FFFFFFFFFFFFFFFFFFFF
99,FloorTest,default,0,FFFFFFFFFFFFFFFFFFFF
99,FloorTest,default,0,FFFFFFFFFFFFFFFFFFFF
99,FloorTest,default,0,FFFFFFFFFFFFFFFFFFFF
99,FloorTest,default,0,FFFFFFFFFFFFFFFFFFFF
99,FloorTest,default,0,FFFFFFFFFFFFFFFFFFFF
99,FloorTest,default,0,FFFFFFFFFFFFFFFFFFFF
99,FloorTest,default,0,FFFFFFFFFFFFFFFFFFFF
99,FloorTest,default,1,####################
99,FloorTest,default,1,#     $  ##        #
99,FloorTest,default,1,#         #     $  #
99,FloorTest,default,1,#         #        #
99,FloorTest,default,1,#   T     D        #
99,FloorTest,default,1,#         ###d######
99,FloorTest,default,1,#     T   #        #
99,FloorTest,default,1,#  $      ###      #
99,FloorTest,default,1,####        #   K  #
99,FloorTest,default,1,#     ^     d      #
99,FloorTest,default,1,#           #    $##
99,FloorTest,default,1,#########S##########
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,0,FFFFFFFFFFFFFFFFFFFF
1,Floor1,default,1,{ = = = N   = =n =} 
1,Floor1,default,1,                    
1,Floor1,default,1,|                 1 
1,Floor1,default,1,   c            c   
1,Floor1,default,1,|      ^          1 
1,Floor1,default,1,             $      
1,Floor1,default,1,|                 1 
1,Floor1,default,1,                    
1,Floor1,default,1,W  $              E 
1,Floor1,default,1,       K    K       
1,Floor1,default,1,                    
1,Floor1,default,1,                    
1,Floor1,default,1,|                 1 
1,Floor1,default,1,              ^     
1,Floor1,default,1,|        k        1 
1,Floor1,default,1,                    
1,Floor1,default,1,|  c            c 1 
1,Floor1,default,1,                    
1,Floor1,default,1,[ - - - S   - - - ] 
2,Floor2,default,0,                    
2,Floor2,default,0,                    
2,Floor2,default,0,* * * * * * * * * * 
2,Floor2,default,0,                    
2,Floor2,default,0,* * * * * * * * * * 
2,Floor2,default,0,                    
2,Floor2,default,0,* * * * * * * * * * 
2,Floor2,default,0,                    
2,Floor2,default,0,* * * * * * * * * * 
2,Floor2,default,0,                    
2,Floor2,default,0,* * * * * * * * * * 
2,Floor2,default,0,                    
2,Floor2,default,0,* * * * * * * * * * 
2,Floor2,default,0,                    
2,Floor2,default,0,* * * * * * * * * * 
2,Floor2,default,0,                    
2,Floor2,default,0,* * * * * * * * * * 
2,Floor2,default,0,                    
2,Floor2,default,0,* * * * * * * * * * 
2,Floor2,default,1,{ = = = N   = = = } 
2,Floor2,default,1,                    
2,Floor2,default,1,|                 1 
2,Floor2,default,1,                    
2,Floor2,default,1,|       / - \     1 
2,Floor2,default,1,        1 + |       
2,Floor2,default,1,|                 1 
2,Floor2,default,1,W   / - ] + [ -\  E 
2,Floor2,default,1,                    
2,Floor2,default,1,    1 + + + + +|    
2,Floor2,default,1,                    
2,Floor2,default,1,|   ( = } + { =)  1 
2,Floor2,default,1,                    
2,Floor2,default,1,|       1 + |     1 
2,Floor2,default,1,        ( = )       
2,Floor2,default,1,|                 1 
2,Floor2,default,1,                    
2,Floor2,default,1,|                 1 
2,Floor2,default,1,[ - - - S   - - - ] 
3,Floor3,default,1,{ = = = N   = = = } 
3,Floor3,default,1,                    
3,Floor3,default,1,|                 1 
3,Floor3,default,1,                    
3,Floor3,default,1,|                 1 
3,Floor3,default,1,        / \         
3,Floor3,default,1,|                 1 
3,Floor3,default,1,W     / ] [ \     E 
3,Floor3,default,1,                    
3,Floor3,default,1,      ( } { )       
3,Floor3,default,1,                    
3,Floor3,default,1,|       ( )       1 
3,Floor3,default,1,                    
3,Floor3,default,1,|                 1 
3,Floor3,default,1,                    
3,Floor3,default,1,|                 1 
3,Floor3,default,1,                    
3,Floor3,default,1,|                 1 
3,Floor3,default,1,[ - - - S   - - - ] 
4,Floor4,default,0,FFFFFFFFFFFFFFFFFFFF
4,Floor4,default,0,FFFFFFFFFFFFFFFFFFFF
